State,Muertos_total,Muertos_etnia,Muertos_blanco,Etnia,Blancos,Permisividad,Prueba,Inversion,Armas,Violent,Murder,Prisoner,Twitter,Protestas
Alabama,1.9488190874316142,2.4572001763957323e-06,1.974024346300271,30858.31941637176,65469.038700880265,1,268.312020240893,7360222,3451.768881544006,530.8583194163717,8.349151248259654,487.10220243224927,0.205138851308591,2.7693744926659782
Alaska,4.866212937367784,0.00014155939962265322,4.909826571535057,9854.621888496138,60568.26553301929,1,277.015571755108,2920986,2773.7413742996373,806.4396217871167,7.028974242864577,591.78556221656,1.7572435607161443,20.546232402219534
Arizona,3.1640743585979445,3.443772592445383e-06,2.8410283062857884,35525.314732756866,54682.03190584171,1,282.248145284054,8230507,2919.1721527250234,463.8076926914158,5.544256421146849,602.1433040632701,0.08551552320534984,4.503817555481759
Arkansas,2.4298675322764627,5.708010368282696e-06,2.1165900629777568,22609.884101975884,72340.38516396114,1,273.75990725281,5308625,3621.5344846467324,551.313642973905,7.223030883616335,527.0149676511403,5.592023909896517,3.1621563776200543
California,1.7730382994230696,2.023805913658041e-07,1.5119758061978146,44620.73458772547,36969.836571649095,1,276.638200063835,78248042,952.7007761633237,442.11127330378724,4.881546245201889,327.33170407722673,0.10117194290573864,6.037435692899953
Colorado,2.9961723897720662,3.0068320599469656e-06,2.3809181186560635,25435.7914906564,68163.90275708497,2,286.247717546748,9648297,2009.7718022369281,339.3878605795382,3.370693938493574,347.5203284946338,0.017834359462928967,7.882786882614603
Connecticut,0.5573850170448338,2.540072617188267e-06,0.4595407767241761,26006.275040521894,66710.45854950583,2,284.144330330682,11099837,2086.765896063301,227.66391021196236,2.2016708173270936,419.153532817715,0.05573850170448338,11.287046595157884
Delaware,1.0395669579879805,2.4190712369423508e-05,0.836236467603363,30795.091996477946,62157.47568192993,2,278.023498869959,2017075,548.9953105134525,505.1255848863598,6.029488356330287,658.4617111895868,4.885964702543508,6.133445052129085
Florida,1.5440041173443129,5.02410868625787e-07,1.3819472859751218,40960.48493166352,53794.33769848078,2,279.120415156315,26971491,2061.440879891729,422.69495434703873,5.294409180152876,467.06124549665464,0.23350679552429424,4.708259468938831
Georgia,1.5437160736032318,2.4650493743649673e-07,1.4033046548891135,40719.99876502714,52611.454622561905,3,281.035487532394,18584666,2166.888364110653,386.10160777549646,6.539219640977666,512.3315587629905,0.31641385359569346,3.0970204458002724
Hawaii,2.0314695650833814,8.83815781393602e-06,0.9659222625763079,12101.53424987636,21756.618737995064,3,277.336845826814,2703683,606.9890959119828,241.8149289195804,2.4517736130316674,363.00259607800285,1.1208107945287622,7.635523537727193
Idaho,2.1549929147327544,5.480846733077713e-05,2.1317386033701364,13079.40915918583,81965.56321322257,3,284.371732938877,2167967,3424.5167137173453,225.75006858119346,2.8539095357271616,420.57307668338433,1.2813471384897461,7.804568934437543
Illinois,0.7733152799366162,3.965345736234744e-07,0.35740398086765435,31225.05716479341,61195.578230096915,3,281.617997668016,32096832,1153.7082850108925,437.8526737532029,8.287752646593432,340.6961540375298,0.007811265453905215,5.132001403215726
Indiana,1.364969015203355,5.545764728869279e-06,1.0797939298531765,16120.104073637529,79179.97761450814,3,287.705639463898,12456571,2003.8645122755713,397.7309715069468,6.464853247831274,377.13643900283466,0.2849935306468543,6.53985154536992
Iowa,0.9854687859119926,6.7314691905540376e-06,0.8884775566867191,9210.477376974553,85870.88896596033,3,286.239418158172,6714410,1161.581594749168,291.5080247359023,2.3206200442443694,287.66151753927807,0.22252520972206283,8.932797704557094
Kansas,1.6820436349580845,8.68764736969095e-06,1.5379472655976125,17392.26253062435,75888.96864293063,3,285.283507884924,5991731,1867.7206558047842,400.42936738338886,4.531219588050351,331.36259608674266,0.13730968448637423,5.526714800576563
Kentucky,1.9532175217531185,5.05860740718519e-06,1.7771906859292916,11472.16698707666,84639.31368875456,3,277.714161796085,7548871,2104.0642864503507,234.65551192371944,5.949455669707774,266.42336012234773,0.13470465667262885,7.543460773667215
Louisiana,2.1774711575799586,4.05048835831026e-06,1.4238326215387176,37350.26950475127,58473.34081501038,3,266.50676028364103,8448743,2484.8361549018828,565.2245474435741,11.848004828008598,321.47586433329997,0.25617307736234807,3.714509621754047
Maine,1.57196571318213,0.00012689373843919924,1.443360142411534,2819.05851230662,93351.55815487156,3,284.00300734202204,2739589,1303.2344317381373,123.43673623987299,1.4971102030306003,176.3595819170047,2.17080979439437,20.809831822125343
Maryland,1.2722694660119822,2.814217813612836e-06,0.8479700575249842,39480.02512153891,50661.8692744776,3,280.910245611123,14491642,2119.7165912365085,479.4803588857365,8.856317321849641,334.35902485998014,0.5617813226546414,4.1472679995975
Massachusetts,0.48106225543268705,3.1390813217824073e-06,0.346474640909606,18792.594964969194,71526.14376560082,3,297.04222521080004,16985185,581.4439127329745,378.6543056019408,1.9679819540428107,131.7527474121402,0.27697523797639556,10.83118956928747
Michigan,0.7126860424252968,1.9127991583591782e-06,0.5751328088657124,18707.125284484693,75048.18911997427,4,279.50545469933604,19025996,836.7034516388818,459.5520055537315,6.143152929074389,412.77571037483176,0.030113494750364646,7.327617055922064
Minnesota,1.075923240766875,3.6419738381398724e-06,0.8305170574735761,11720.659483564017,79888.30482196518,4,293.962375743927,11684249,1767.8315448500396,239.6619018808214,1.8111374552909063,170.5159016075369,0.1075923240766875,7.047297227023032
Mississippi,2.044167420662846,2.1232852673364342e-05,2.1321368097429176,40761.30156496096,56581.44834288395,4,270.91490754267,4592343,1754.163734459301,281.8605274622164,7.942093093394993,459.7701149425287,0.2345765892563922,2.88194095372139
Missouri,2.028287412252034,7.345842569765989e-06,1.4830618883785829,15540.492795326827,79411.06712126477,4,280.596021606445,10623391,1443.8462087055404,518.8490057793106,8.800150224125758,530.4135154604572,0.16357156550419627,6.232076645709877
Montana,2.760608590442773,0.0015980314699561191,2.7587089683421593,4123.111719925787,86266.25784274621,4,285.600436850241,1804339,2234.76025066326,369.9215511193316,3.522155787806297,304.523685545739,1.5230943947270472,17.896359138042804
Nebraska,1.2499505227918062,4.934179767883985e-05,1.0542726375397493,15471.470920942713,79040.30882110917,4,288.405955332178,4248695,1549.5740793593588,294.83207956351725,2.5519823173666043,269.1039313027193,8.333003485278708,8.072597126363748
Nevada,2.8351866003077344,1.4314080668183713e-05,2.667029565048509,37695.80715927978,48775.249421371765,4,275.36545551406897,4345419,3229.5110237058293,664.5677391121329,7.604971116119571,464.7037613586748,1.5343362778135974,6.103989974780181
New Hampshire,0.8936583767440303,0.0036064019655916036,0.989454068717585,5095.044291943297,90318.32856094936,4,293.290654433387,3093061,4419.2151445306245,198.69004576275606,1.4149590965113812,193.55151009647787,0.22341459418600756,11.170729709300376
New Jersey,0.6662488546071775,4.702517096293837e-07,0.4251460528529426,33187.56548671034,54848.70376843677,4,291.698552399307,29335237,1001.7828819349287,242.7477701761251,4.197367784025218,216.06450354910763,0.7106654449143226,5.718636002044939
New Mexico,4.453873672817482,1.5517290510915553e-05,3.3303957534892303,50590.545336123796,37388.018600908974,4,269.374084020303,3789651,5068.604021895818,698.491908796161,6.656864951845484,335.0462388713022,0.9578222952295661,11.829105346085141
New York,0.45341423183644003,2.0024722584576748e-07,0.32002697735982866,33543.25740542573,55097.77903099232,4,281.687999953596,63712218,417.7305317909122,374.3942070991671,3.168861686945786,254.97497430526738,1.0075871818587554,7.113565503922814
North Carolina,1.4406109592142595,1.8845220395922676e-06,1.359513862561182,30545.653788675416,63006.307831891216,4,281.926028447068,13146934,1763.862643974708,367.6186087611145,6.599555610454514,350.12686623606027,0.4769590337939103,5.713774547694395
North Dakota,1.4561956491521633,0.0005694195892854557,0.9414851300269422,6527.595569458547,84365.48922216648,4,288.172322165675,1644533,2610.561654661878,252.18661014862462,2.1181027624031468,216.97315172367234,0.5295256906007867,7.280978245760816
